Question,Answer,Chapter
"FIB with one blank: The former ___ have I made, O Theophilus, of all that Jesus began both to do and teach.",treatise,1
FIB with two blanks: The former treatise have I made Theophilus of all that Jesus began both to ___ and ___.,"do, teach",1
Who was the book of Acts written to?,Theophilus,1
"After He was taken up, how did Jesus give commandments to the apostles",through the Holy Ghost vs.2,1
Jesus Showed Himself alive after His passion by many -- proofs.,Infallible vs.3,1
How many days was Jesus with His apostles after His passion,Forty 1:3,1
Jesus spoke to His apostles of things pertaining to the,Kingdom of God 1:3,1
"Jesus commanded His apostles not to depart from Jerusalem, what did He tell them to wait for there.",The promise of the Father 1:4,1
who baptized with water,John 1:5,1
When did Jesus say they would be baptized with the Holy Ghost.,Not many days hence 1:5,1
The apostles asked Jesus if He would restore the -- to Israel.,Kingdom 1:6,1
It is not for you to know the -- or the -- which the Father hath put in His own power.,"times, seasons 1:7",1
What did Jesus tell the apostles they would receive after the Holy Ghost is come upon them.,Power 1:8,1
"Jesus told the apostles ye shall be witnesses unto me, name the places He told them they shall be witnesses","Jerusalem, Judaea, Samaria, unto the uttermost part of the earth 1:8",1
"As Jesus was taken up, what received Him out of their sight.","cloud, 1:9",1
How many men stood in white apparel,"two, 1:10",1
Ye men of -- why stand you gazing up into heaven.,Galilee 1:11,1
How far is mount Olivet from Jerusalem,a Sabbath day's journey 1:12,1
"There was a disciple named Judas in the upper room, who was he the brother of",James 1:13,1
What did they continue with one accord in,Prayer and supplication 1:14,1
"Peter stood up in the midst of the disciples, what was the number of them.",about hundred and twenty 1:15,1
Who was a guide to them that took Jesus,Judas 1:16,1
"The Holy Ghost spake by the mouth of David, concerning this man.",Judas 1:16,1
What did Judas use to purchase the field.,Reward of iniquity 1:18,1
What gushed out from Judas,all his bowels 1:18,1
How did Judas fall,Headlong 1:18,1
What does Aceldama mean,Field of blood 1:19,1
To the dwellers of Jerusalem the field is called Aceldema in their -- tongue,proper 1:19,1
The lot fell upon him and he was numbered with the eleven,Matthias 1:26,1
What is Aceldema,a field 1:19,1
"In which book are these words written "" let his habitation be desolate and let no man dwell therein, and his bishoprick let another take""","in Psalms, 1:20",1
What was Joseph who was called Barsabas surname,Justus 1:23,1
What things did they do to find out who would replace Judas.,"prayed and cast lots 1:24, 26",1
How did the men in white apparel address the apostles,ye men of Galilee 1:15,1
Who prophesied concerning Judas,David 1:16,1
what did Judas purchase with the reward of iniquity,a field 1:18,1
David prophesied about Judas in this book,Psalms 1:20,1
Apostles had to choose between these two men to replace Judas,"Joseph, Matthias 1:23",1
Joseph was also called -- and surnamed Justus,Barsabas 1:23,1
Who replaced Judas,Matthias 1:26,1
who fell headlong,Judas 1:19,1
"Looking for a number under five, and they appointed --",two 1:23,1
When this day was come they were all in one accord in one place.,Day of Pentecost 2:1,2
Describe the sound that came from heaven.,A mighty rushing wind 2:2,2
What appeared and sat upon each of the disciples.,Cloven tongues of fire 2:3,2
Behold are not all these which speak --,Galilaeans 2:7,2
