Question,Answer,Chapter
"By what, is Paul an apostle of Jesus Christ?",the will of God Colossians 1:1,1
Who does Paul mention as our brother in his introduction in Colossians 1?,Timotheus Colossians 1:1,1
Which 2 groups of people are mentioned in Pauls introduction in Colossians 1?,The saints and faithful brethren Colossians 1:2,1
Where does Paul address the saints and faithful brethren in Christ?,At Colosse Colossians 1:2,1
"FIB 2 blanks: Blank be unto you, and blank, from God our Father and the Lord Jesus Christ.","Grace, peace Colossians 1:2",1
What do Paul and Timothy give to God as stated in Colossians 1?,Thanks Colossians 1:3,1
"As Paul and Timothy give thanks to God and the Father of our Lord Jesus Christ, what is being done always for the saints and faithful brethren at Colosse?",Praying Colossians 1:3,1
"Since the faith in Christ Jesus have been heard of the Colossians, what has been done always for them?",Praying Colosssians 1:3,1
"Be specific, what has been heard of the saints and faithful brethren at Colosse?",their faith in Christ Jesus Colossians 1:4,1
"Along with their faith in Christ Jesus, what else has been heard of the Colossians?",the love which ye have to all the saints Colossians 1:4,1
"In Colossians 1, where is the hope laid up in, whereof ye heard before in the wind of the truth of the gospel?",Heaven Colossians 1:5,1
What is laid up in heaven for the Colossians?,Hope Colossians 1:5,1
"Be specific, where has the hope which is laid up in heaven been heard before for the Colossians?",In the word of the truth of the gospel Colossians 1:5,1
Where else has the word of the truth of the gospel come unto besides them at Colosse?,All the world Colossians 1:6,1
What does word of the truth of the gospel bring forth?,Fruit Colossians 1:6,1
When did the word of the truth of the gospel bring forth much fruit in the people of Colosse?,since the day ye (they) heard of it Colossians 1:6,1
"Since the day they heard of the word of the truth of the gospel, what else happened to bring forth fruit in the people of Colosse?",know the grace of God in truth Colossians 1:6,1
"Who does Paul mention in Colossians as a dear fellowservant, who is a faithful minister of Christ?",Epaphras Colossians 1:7,1
What two things does Paul describe Epaphras as?,fellow servant and faithful minister Colossians 1:7,1
What about the Colossians did Epaphras declare unto Paul and Timothy?,their love in the Spirit Colossians 1:8,1
"BONUS FIB 3 Blanks: For this cause we also, since the day we heard it, do not cease to BLANK for you, and to desire that ye might be filled with the BLANK of his will in all BLANK and spiritual understanding","pray, knowledge, wisdom Colossians 1:9",1
Paul desired that the people might be filled with the knowledge of Christ’s will in what two things?,wisdom and spiritual understanding Colossians 1:9,1
"BONUS FIB 3 Blanks: That we might walk BLANK of the Lord unto all pleasing, being BLANK in every good work, and increasing in the BLANK of God","worthy, fruitful, knowledge Colossians 1:10",1
"Unto what, should the Colossians walk worthy of the Lord?",All pleasing Colossians 1:10,1
In whose knowledge should the increasing be done to the Colossians?,God Colossians 1:10,1
"According to what, would the Colossians be strengthened with all might?",His (God’s) glorious power Colossians 1:11,1
"FIB 3 Blanks: strengthened with all might, according to his BLANK power, unto all BLANK and BLANK with joyfulness?","glorious, patience, long suffering Colossians 1:11",1
"With what, should the Colossians be strengthened with all might, according to his glorious power, unto all patience and long suffering?",joyfulness Colossians 1:11,1
"Giving thanks unto the Father, which hath made us meet to be what, of the inheritance of the saints in light?",partakers Colossians 1:12,1
Which group of people has the Father made us meet to be partakers of the inheritance with?,saints Colossians 1:12,1
FTV: Who hath delivered us from the power of darkness ..,and hath translated us into the kingdom of his dear Son Colossians 1:12,1
Be specific: Who’s kingdom has the Father translated us into?,his dear Son Colossians 1:13,1
What power has the Father delivered us from?,of darkness Colossians 1:13,1
"In whom, do we have redemption through his blood, even the forgiveness of sins?",the Son (Jesus Christ) Colossians 1:13-14,1
"What do we have through the blood of the Son, even the forgiveness of sins?",redemption 1:14,1
"FIB 2 Blanks: In whom we have redemption through his blood, even the BLANK of BLANK","forgiveness, sins Colossians 1:14",1
Be specific: The Son (Jesus Christ) is the image of whom?,the invisible God Colossians 1:15,1
"Along with being the image of the image of the invisible God, what else is the Son (Jesus Christ) described as?",The firstborn of every creature Colossians 1:15,1
"What, of every creature is the Son (Jesus Christ) described as?",firstborn Colossians 1:15,1
Which two places were all things created by the Son?,heaven and earth Colossians 1:16,1
BONUS for 20: For by him (the Son) were all things created that in heaven and that are in earth. Name 4 out of the 6 things created.,"visible, invisible, thrones, dominions, principalities, powers Colossians 1:16",1
How many things is he (Jesus Christ) stated before and by him consist?,All things Colossians 1:17,1
"Who is the head of the body, the church?",the Son (Jesus Christ) Colossians 1:18,1
What does the body signify in Colossians 1?,the church Colossians 1:18,1
"Along with being the beginning, who is the Son (Jesus Christ) described as being the firstborn from?",The dead Colossians 1:18,1
"Jesus Christ the Son is the beginning, the firstborn from the dead that in all things he might have what?",the preeminence Colossians 1:18,1
FIB: 1 Blank: For it BLANK the Father that in him should all fulness dwell?,pleased Colossians 1:19,1
"For it pleased who, that in him should all fulness dwell?",the Father Colossians 1:19,1
"And having made this through the blood of his cross, by him to reconcile all things unto himself. What is this?",peace Colossians 1:20,1
"FIB 3 Blanks: And, having made peace through the blood of his cross, by him to BLANK all things unto himself: by him I say, whether they be things in BLANK, or things in BLANK","reconcile, earth, heaven Colossians 1:20",1
"FTV: And, having made peace through the blood of his cross, by him to reconcile all things unto himself; by him, I say …","whether they be things in earth, or things in heaven Colossians 1:20",1
"FIB 2 Blanks: And you, that were sometime BLANK and BLANK in your mind by wicked works","alienated, enemies Colossians 1:21",1
"By what, were the Colossians sometime alienated and enemies in their minds?",wicked works Colossians 1:21,1
