Question,Answer,Chapter
Who reigned from India even unto Ethiopia?,"Ahasuerus, Esther 1:1",1
Over how many provinces did Ahasuerus reign?,"an hundred and seven and twenty, Esther 1:1",1
Ahasuerus reigned from what place even unto Ethiopia?,"India, Esther 1:1",1
"Where was the palace, the throne of Ahasuerus' kingdom?","Shushan, Esther 1:2",1
What was the palace in Shushan described as in Esther chapter 1?,The throne of Ahasuerus' kingdom,1
In what year of his reign did Ahasuerus make a feast unto all his princes and servants?,"third year, Esther 1:3",1
Esther 1:3 mentions the power of Persia and what place?,"Media, Esther 1:3",1
Esther 1:3 mentions the power of Media and what place?,"Persia, Esther 1:3",1
"King Ahasuerus made a feast for 180 days, in addition to his princes and servants, who else did he invite?",the nobles (of his provinces) Esther 1:3,1
"King Ahasuerus made a feast for 180 days, in addition to his princes and nobles of his provinces, who else did he invite?",his servants Esther 1:3,1
For how many days did Ahasuerus show the riches of his glorious kingdom and the honour of his excellent majesty?,"an hundred and fourscore days, Esther 1:4",1
"When the an hundred and fourscore days were expired, what did the king make unto all the people present in Shushan?","a feast, Esther 1:5",1
"After making a feast lasting 180 days, he made another lasting 7 days. Who was this second feast for?",All the people present in Shushan the palace  Esther 1:5,1
"Esther 1 mentions this thing made of red, blue, white, black, and marble. What is this thing?","pavement, Esther 1:6",1
"In Esther 1, what was made of fine linen and purple?","cords, Esther 1:6",1
"The white, green, and blue hangings were fastened with cords to silver rings and what","pillars of marbles, Esther 1:6",1
What in the book of Esther was made of gold and silver?,"The beds, Esther 1:6",1
"FIB with the same word: They gave them drink in ___ of gold, (the ___ being diverse one from another).","vessels, Esther 1:7",1
Royal wine was in abundance according to what of the king in Esther 1?,"the state, Esther 1:7",1
What kind of wine was in abundance in Esther chapter 1?,"Royal,  Esther 1:7",1
What did it say that the drinking was according to as stated in Esther chapter 1?,"The law, Esther 1:8",1
It was said in Esther that the drinking was according to the law. What did they not do?,"Compell,  Esther 1:8",1
Who made a feast for the women in the royal house?,"Vashti (the queen), Esther 1:9",1
In Esther chapter 1 who was king Ahasuerus' queen?,"Vashti, Esther 1:9",1
It was said that Queen Vashti made a feast for the women in the roal house. Who did it say the royal house belonged to?,"King Ahasuerus, Esther 1:9",1
Bonus for 20: Name four of the seven chamberlains that served in the presence of Ahasuerus.,"Mehuman, Biztha, Harbona, Bigtha, Abagtha, Zethar, Carcas, Esther 1:10",1
Mehuman was one of what group of seven that served in the presence of the king?,"the chamberlains, Esther 1:10",1
Harbona was one of what group of seven that served in the presence of the king?,"the chamberlains, Esther 1:10",1
Carcas was one of what group of seven that served in the presence of the king?,"the chamberlains, Esther 1:10",1
The king wanted Vashti to come before him with what?,"the crown royal, Esther 1:11",1
