Question,Answer,Chapter
Whose servant did Paul say he was ,servant of Jesus Christ 1:1,1
What did Paul say he was called to be ,an apostle 1:1,1
What did Paul say he was separated unto ,the gospel of God 1:1,1
FIB with one blank: Which He had promised afore by His prophets in the holy ___ ,scriptures 1:2,1
FIB with one blank: Jesus Christ was made of the seed of David according to the ___ ,flesh 1:3,1
FTV: Jesus Christ was declared to be the son of God with power according to the spirit of holiness by the ... ,resurrection from the dead 1:4,1
"Besides grace, what else did Paul say we have received through Jesus Christ.  ",apostleship 1:5,1
"Bonus for 20: FIB: By whom we have received ___ and apostleship for the ___ and the faith among all ___, for his ___.","grace, obedience, nations, name 1:5",1
Bonus for 15: FIB: By whom we have received grace and ___for the obeience and the ___ among all ___ for the name,"apostleship, faith,nations 1:5",1
FTV in Romans 1:6  Among are ye also the called of ............ ,Jesus Christ 1:6,1
"Bonus for 15: FIB:To all that be in Rome, beloved of ___, called to be saints ___ to you and peace from God our ___ and the Lord Jesus Christ. ","God, grace, Father 1:7",1
"Bonus for 25: FIB: To all that be in ___, beloved of God, called to be ___: to you and ___ from God our Father and the Lord ___ ___","Rome, saints, peace, Jesus Christ 1:7",1
Paul says he thanks God that this of the Romans is spoken of throughout the whole world ,their faith 1:8,1
"In Romans 1, Paul said that he thanks God that the faith of the Romas is spoken where",throughout the whole world 1:8,1
Paul says without ceasing he makes mentions of the Romans always in what?,his prayers 1:9,1
"Bonus for 10: FTV: For God is my witness, whom I serve with my spirit in the gospel of his Son, that without ceasing I make...",mention of you always in my prayers 1:9,1
Paul says he hopes to have what kind of journey to come to the Romans ,prosperous 1:10,1
"Bonus for 15: FIB: For I long to ___ you, that I may impart unto you some ___ gift, to the end ye may be ___","see, spiritual, established 1:11",1
"FIB with one blank: That is, that I may be comforted together with you by the mutual ___ both of you and me.",faith 1:12,1
"Bonus for 15: FIB: Now I would not have you ___ brethren, that oftentimes I purposed to come unto you (but was let hitherto) that I might have some ___ among you also even as among other ___ ","ignorant, fruit, gentiles 1:13",1
 Bonus for 20: FIB: In Romans 1:14 What  groups of people that Paul said he is a debtor to ,"Greeks, barbarians, wise, unwise 1:14",1
"So much as is in him, Paul says he is ready to do this at Rome also",preach the gospel 1:15,1
"Bonus for 20: FIV: For I am not ashamed of the ___ of ___: for it is the power of God unto salvation to everyone that ___; to the ___ first, and also the Greek.","gospel, Christ, believe, Jew 1:16",1
What did Paul say he was not ashamed of ,the gospel of Christ 1:16,1
In Romans 1:16 What did Paul say is the power of God unto salvation to every one that believeth,the gospel of Christ 1:16,1
Bonus for15 FIB: .... for it is the power of God unto ___ to everyone that believeth to the ___ first and also to the ___ ,"salvation, Jew, Greek 1:16",1
Bonus for 20: What reason did Paul give when he said he is not ashamed of the gospel of Christ,Because he said it is the power of God unto salvation to everyone that believeth 1:16,1
FIB with the same word: For therein is the righteousness of God revealed from ___ to ___,"faith, 1:17",1
In Romans 1 who was it said shall live by faith ,the just 1:17,1
"FTV, for therein is the righteousness of God revealed from faith to faith, as it is written ... ",the just shall live by faith 1:17,1
"In Roman 1, what do ungodly and unrighteousness men hold in unrighteousness ",the truth 1:18,1
Bonus for 15: FIB: For the ___ of God is revealed from heaven against all ___ and unrighteousness of men who hold the truth in ___ ,"wrath, ungodliness, unrighteousness 1:18",1
In Romans 1:18 What is revealed from heaven against all ungodlines and unrighteousness,the wrath of God 1:18,1
Romans 1:20 what is it said is clearly seen,the invisible things of Him 1:20,1
"According to Paul being understood by the things that are made, what is clearly seen ",the invisible things of Him 1:20,1
"Bonus for 20: FIB: the invisible things of Him from the ___ of the world are clearly ___, being understood by the things that are made, even His eternal power and ___, so that they are without ___ ","creaton, seen, Godhead, excuse 1:20",1
In Romans 1 from what time were the invisible things of Him clearly seen ,from the creation of the world 1:20,1
Bonus for 10: FIB: being understood by the things that are made even His eternal ___ and ___ ,"power, Godhead 1:20",1
"Bonus for 20: Paul FIB: Paul said in Romans 1, Because that when they knew God they ___ Him not as God, neither were ___ but became vain in their ___ and their foolish heart was ___ ","glorified, thankful, imaginations, darkened 1:21",1
"Bonus for 20: FIB: Paul said in Romans 1, Because that when they knew ___ they glorified  Him not as God, neither were ___ but became ___ in their imagination and their ___ heart was darkened. ","God, thankful, vain, foolish 1:21",1
